run_tag,epoch,params_m,latency_ms,avg_psnr,avg_ssim,batch_size,height,width,seed
B+SE_rank,92,2.4644,70.68,22.6849,0.9957,1,256,384,123
B0_rank,83,2.5302,70.99,22.7016,0.9955,1,256,384,123
B+W_rank,100,1.5007,163.63,22.2438,0.9956,1,256,384,123
B+SE_rank,93,2.4644,70.68,22.4644,0.9957,1,256,384,123
B0_rank,84,2.5302,70.99,22.5378,0.9952,1,256,384,123
B+SE_rank,94,2.4644,70.68,22.6331,0.9958,1,256,384,123
B0_rank,85,2.5302,70.99,22.5977,0.9954,1,256,384,123
B+SE_rank,95,2.4644,70.68,22.5623,0.9957,1,256,384,123
B0_rank,86,2.5302,70.99,22.5118,0.9954,1,256,384,123
B+SE_rank,96,2.4644,70.68,22.4731,0.9957,1,256,384,123
B0_rank,87,2.5302,70.99,22.4123,0.9956,1,256,384,123
B+SE_rank,97,2.4644,70.68,22.5252,0.9957,1,256,384,123
B0_rank,88,2.5302,70.99,22.5280,0.9956,1,256,384,123
B+SE_rank,98,2.4644,70.68,22.5284,0.9957,1,256,384,123
B0_rank,89,2.5302,70.99,22.7060,0.9954,1,256,384,123
B+SE_rank,99,2.4644,70.68,22.5199,0.9957,1,256,384,123
B0_rank,90,2.5302,70.99,22.5188,0.9954,1,256,384,123
B+SE_rank,100,2.4644,70.68,22.4852,0.9957,1,256,384,123
B0_rank,91,2.5302,70.99,22.4548,0.9955,1,256,384,123
B0_rank,92,2.5302,70.99,22.5021,0.9954,1,256,384,123
B0_rank,93,2.5302,70.99,22.5728,0.9954,1,256,384,123
B0_rank,94,2.5302,70.99,22.6172,0.9954,1,256,384,123
B0_rank,95,2.5302,70.99,22.6325,0.9954,1,256,384,123
B0_rank,96,2.5302,70.99,22.5486,0.9954,1,256,384,123
B0_rank,97,2.5302,70.99,22.4534,0.9954,1,256,384,123
B0_rank,98,2.5302,70.99,22.5304,0.9954,1,256,384,123
B0_rank,99,2.5302,70.99,22.5424,0.9953,1,256,384,123
B0_rank,100,2.5302,70.99,22.5149,0.9954,1,256,384,123
