run_tag,epoch,params_m,latency_ms,avg_psnr,avg_ssim,batch_size,height,width,seed
B0_rank,8,2.5302,70.99,20.9978,0.9939,1,256,384,123
B+SE_rank,21,2.4644,70.68,21.1890,0.9938,1,256,384,123
B+W_rank,16,1.5007,163.63,20.9019,0.9942,1,256,384,123
B+E_rank,24,2.3122,67.41,21.5963,0.9940,1,256,384,123
B0_rank,9,2.5302,70.99,21.4371,0.9943,1,256,384,123
B+SE_rank,22,2.4644,70.68,20.1577,0.9923,1,256,384,123
B+W_rank,17,1.5007,163.63,20.3822,0.9930,1,256,384,123
B+E_rank,25,2.3122,67.41,20.6768,0.9862,1,256,384,123
B0_rank,10,2.5302,70.99,21.4508,0.9944,1,256,384,123
B+SE_rank,23,2.4644,70.68,21.9680,0.9948,1,256,384,123
B+W_rank,18,1.5007,163.63,21.1175,0.9936,1,256,384,123
B+E_rank,26,2.3122,67.41,21.7627,0.9946,1,256,384,123
B0_rank,11,2.5302,70.99,21.4886,0.9949,1,256,384,123
B+W_rank,19,1.5007,163.63,21.3021,0.9931,1,256,384,123
B+SE_rank,24,2.4644,70.68,21.0448,0.9938,1,256,384,123
B+E_rank,27,2.3122,67.41,20.9428,0.9931,1,256,384,123
B+W_rank,20,1.5007,163.63,21.3473,0.9947,1,256,384,123
B0_rank,12,2.5302,70.99,20.9664,0.9937,1,256,384,123
B+SE_rank,25,2.4644,70.68,21.6861,0.9939,1,256,384,123
B+E_rank,28,2.3122,67.41,21.5143,0.9941,1,256,384,123
B+W_rank,21,1.5007,163.63,21.4863,0.9950,1,256,384,123
B0_rank,13,2.5302,70.99,21.8626,0.9935,1,256,384,123
B+E_rank,29,2.3122,67.41,21.7059,0.9951,1,256,384,123
B+SE_rank,26,2.4644,70.68,21.1790,0.9936,1,256,384,123
B+W_rank,22,1.5007,163.63,21.5151,0.9935,1,256,384,123
B0_rank,14,2.5302,70.99,21.0324,0.9929,1,256,384,123
B+E_rank,30,2.3122,67.41,22.1378,0.9945,1,256,384,123
B+SE_rank,27,2.4644,70.68,20.4465,0.9933,1,256,384,123
B+W_rank,23,1.5007,163.63,21.6476,0.9946,1,256,384,123
B0_rank,15,2.5302,70.99,21.3577,0.9943,1,256,384,123
B+E_rank,31,2.3122,67.41,21.7938,0.9950,1,256,384,123
B+SE_rank,28,2.4644,70.68,21.8618,0.9941,1,256,384,123
B+W_rank,24,1.5007,163.63,21.4052,0.9950,1,256,384,123
B0_rank,16,2.5302,70.99,21.8570,0.9948,1,256,384,123
B+E_rank,32,2.3122,67.41,21.5696,0.9952,1,256,384,123
B+W_rank,25,1.5007,163.63,21.9314,0.9942,1,256,384,123
B+SE_rank,29,2.4644,70.68,20.9924,0.9940,1,256,384,123
B0_rank,17,2.5302,70.99,20.0486,0.9927,1,256,384,123
B+E_rank,33,2.3122,67.41,21.1259,0.9941,1,256,384,123
B+W_rank,26,1.5007,163.63,21.8908,0.9950,1,256,384,123
B+SE_rank,30,2.4644,70.68,21.6747,0.9949,1,256,384,123
B0_rank,18,2.5302,70.99,20.3080,0.9933,1,256,384,123
B+E_rank,34,2.3122,67.41,21.7107,0.9950,1,256,384,123
B+W_rank,27,1.5007,163.63,22.0268,0.9950,1,256,384,123
B+SE_rank,31,2.4644,70.68,21.6518,0.9945,1,256,384,123
B0_rank,19,2.5302,70.99,21.8364,0.9949,1,256,384,123
B+E_rank,35,2.3122,67.41,21.6174,0.9951,1,256,384,123
B+W_rank,28,1.5007,163.63,21.2094,0.9950,1,256,384,123
B+SE_rank,32,2.4644,70.68,21.1054,0.9944,1,256,384,123
B0_rank,20,2.5302,70.99,21.5064,0.9946,1,256,384,123
B+W_rank,29,1.5007,163.63,21.6920,0.9948,1,256,384,123
B+E_rank,36,2.3122,67.41,21.3965,0.9948,1,256,384,123
B+SE_rank,33,2.4644,70.68,21.6966,0.9946,1,256,384,123
B+W_rank,30,1.5007,163.63,22.3448,0.9952,1,256,384,123
B0_rank,21,2.5302,70.99,22.1764,0.9949,1,256,384,123
B+E_rank,37,2.3122,67.41,21.5406,0.9948,1,256,384,123
B+SE_rank,34,2.4644,70.68,21.5379,0.9947,1,256,384,123
B+W_rank,31,1.5007,163.63,22.0093,0.9954,1,256,384,123
B0_rank,22,2.5302,70.99,21.9443,0.9948,1,256,384,123
B+E_rank,38,2.3122,67.41,21.8036,0.9950,1,256,384,123
B+W_rank,32,1.5007,163.63,21.6362,0.9947,1,256,384,123
B+SE_rank,35,2.4644,70.68,21.5682,0.9950,1,256,384,123
B0_rank,23,2.5302,70.99,21.6879,0.9946,1,256,384,123
B+E_rank,39,2.3122,67.41,21.2092,0.9944,1,256,384,123
B+W_rank,33,1.5007,163.63,20.5379,0.9929,1,256,384,123
B+SE_rank,36,2.4644,70.68,21.5629,0.9945,1,256,384,123
B+E_rank,40,2.3122,67.41,22.0533,0.9955,1,256,384,123
B0_rank,24,2.5302,70.99,21.2315,0.9935,1,256,384,123
B+W_rank,34,1.5007,163.63,21.6156,0.9948,1,256,384,123
B+E_rank,41,2.3122,67.41,22.1317,0.9953,1,256,384,123
B+SE_rank,37,2.4644,70.68,21.6752,0.9948,1,256,384,123
B0_rank,25,2.5302,70.99,21.9797,0.9951,1,256,384,123
B+W_rank,35,1.5007,163.63,21.7019,0.9947,1,256,384,123
B+E_rank,42,2.3122,67.41,21.8566,0.9953,1,256,384,123
B0_rank,26,2.5302,70.99,21.5604,0.9936,1,256,384,123
B+SE_rank,38,2.4644,70.68,21.2101,0.9945,1,256,384,123
B+W_rank,36,1.5007,163.63,21.5365,0.9945,1,256,384,123
B+E_rank,43,2.3122,67.41,21.7568,0.9951,1,256,384,123
B0_rank,27,2.5302,70.99,21.6440,0.9945,1,256,384,123
B+SE_rank,39,2.4644,70.68,21.8795,0.9951,1,256,384,123
B+W_rank,37,1.5007,163.63,22.1587,0.9954,1,256,384,123
B+E_rank,44,2.3122,67.41,21.8577,0.9953,1,256,384,123
B0_rank,28,2.5302,70.99,22.1296,0.9951,1,256,384,123
B+SE_rank,40,2.4644,70.68,21.6103,0.9950,1,256,384,123
B+W_rank,38,1.5007,163.63,22.0544,0.9952,1,256,384,123
B+E_rank,45,2.3122,67.41,21.9885,0.9950,1,256,384,123
B0_rank,29,2.5302,70.99,21.7421,0.9948,1,256,384,123
B+W_rank,39,1.5007,163.63,22.0970,0.9956,1,256,384,123
B+SE_rank,41,2.4644,70.68,21.7578,0.9949,1,256,384,123
